date,time,timestamp,time_diff_day,time_days,M1_tracer_mg-l,M2_tracer_mg-l,M3_tracer_mg-l,M1_outflow,M2_outflow,M3_outflow,P6_inflow,,,
21.08.2018,5:00:00,21.08.2018 05:00:00,0.25,13.73,0.084,0.240,0.363,0.081,0.022,0.020,0.047,,,
21.08.2018,11:00:00,21.08.2018 11:00:00,0.25,13.98,0.132,0.244,0.382,0.080,0.022,0.018,0.033,,,
21.08.2018,17:00:00,21.08.2018 17:00:00,0.25,14.23,0.131,0.333,0.326,0.056,0.011,0.004,0.033,,,
21.08.2018,23:00:00,21.08.2018 23:00:00,0.25,14.48,0.146,0.323,0.413,0.080,0.022,0.013,0.040,,,
22.08.2018,5:00:00,22.08.2018 05:00:00,0.25,14.73,0.176,0.239,0.374,0.086,0.024,0.016,0.040,,,
22.08.2018,17:00:00,22.08.2018 17:00,0.50,15.23,0.15,0.201,0.407,0.056,0.01,0.003,,,,
23.08.2018,17:00:00,23.08.2018 17:00,1.00,16.23,0.119,0.247,0.353,0.058,0.016,0.019,,,,
24.08.2018,17:00:00,24.08.2018 17:00,1.00,17.23,0.112,0.257,0.356,0.069,0.017,0.018,,,,
25.08.2018,11:00:00,25.08.2018 11:00,0.75,17.98,0.05,0.232,0.184,,0.019,0.016,,,,
26.08.2018,11:00:00,26.08.2018 11:00,1.00,18.98,"<0,02",0.174,0.327,0.049,0.046,0.004,,,,
27.08.2018,11:00:00,27.08.2018 11:00,1.00,19.98,"<0,02",0.111,0.173,0.054,0.057,0.001,,,,
28.08.2018,11:00:00,28.08.2018 11:00,1.00,20.98,"<0,02",0.15,0.271,0.058,0.055,0.000,,,,
29.08.2018,11:00:00,29.08.2018 11:00,1.00,21.98,"<0,02",0.145,0.333,0.061,0.059,0.000,,,,
